Sentiment	SentimentText	LoggedIn
1	  ==RUDE== Dude, you are rude upload that carl picture back, or else.	TRUE
1	  == OK! ==  IM GOING TO VANDALIZE WILD ONES WIKI THEN!!!   	TRUE
1	   Stop trolling, zapatancas, calling me a liar merely demonstartes that you arer Zapatancas. You may choose to chase every legitimate editor from this site and ignore me but I am an editor with a record that isnt 99% trolling and therefore my wishes are not to be completely ignored by a sockpuppet like yourself. The consensus is overwhelmingly against you and your trollin g lover Zapatancas,  	TRUE
1	  ==You're cool==  You seem like a really cool guy... *bursts out laughing at sarcasm*.	FALSE
1	 ::::: Why are you threatening me? I'm not being disruptive, its you who is being disruptive.   	TRUE
1	  == hey waz up? ==  hey ummm... the fif four fifty one song... was the info inacurate?  did i spell something wrong? hmm... cause i don't think you have a right to delete ANYTHING that is accurate and that peple may want to read about fool. i don't like being pushed around especially by some little boy. got it?	TRUE
0	 ::::::::::I'm not sure either. I think it has something to do with merely ahistorical vs being derived from pagan myths. Price does believe the latter, I'm not sure about other CMT proponents.   	TRUE
0	" *::Your POV and propaganda pushing is dully noted. However listing interesting facts in a netral and unacusitory tone is not POV. You seem to be confusing Censorship with POV monitoring. I see nothing POV expressed in the listing of intersting facts. If you want to contribute more facts or edit wording of the cited fact to make them sound more netral then go ahead. No need to CENSOR interesting factual information. "	TRUE
0	  == File:Hildebrandt-Greg and Tim.jpg listed for deletion == An image or media file that you uploaded or altered, File:Hildebrandt-Greg and Tim.jpg, has been listed at Wikipedia:Files for deletion. Please see the discussion to see why this is (you may have to search for the title of the image to find its entry), if you are interested in it not being deleted.     	TRUE
0	  ::::::::This is a gross exaggeration. Nobody is setting a kangaroo court. There was a simple addition concerning the airline. It is the only one disputed here.   	FALSE
1	"::No, I won't unrevert your edits!"" ""sounds more like you're writing their MARKETING material!!""  Don't get bossy with me. Or snippy either, Miss religious Bigot!  Kindly leave your hatred for Christianity at DailyKos before you log out there and log in over here as a...er...ahem...NPOV editor     "	FALSE
1	 ::::I heard Mark Kermode say today that Turbo was rubbish, and he's never *cough* wrong! He doesn't like F1 but he loved Senna and liked Rush as well.   	TRUE
1	   I am a sock puppet? THAT is my ban reason? This is my only account, and thanks for ignoring the bulk of my text. Wikipedia IS corrupt AND populated by idiots. I am free to say this, so please refrain from saying anything like that again. I didn't get banned for trolling, or personal attacks, I got banned because I changed an article to NPOV when the far majority of the editors here would rather the see the BNP article as a diatribe denouncing the party.	FALSE
1	   You twit, read the article before you revert edits. Power-mad jerks like you are ruining  this place	FALSE
